R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
R2	0.0006369	-2	0	-2	0	-2	0	-2	0	-2	0	-2	0	-2
R3	0.0006369	-4	0	-4	0	-4	0	-4	0	-4	0	-4	0	-4
R4	0.0006369	-6	0	-6	0	-6	0	-6	0	-6	0	-6	0	-6
R5	0.0006369	-8	0	-8	0	-8	0	-8	0	-8	0	-8	0	-8
R6	0.0006369	-10	0	-10	0	-10	0	-10	0	-10	0	-10	0	-10
R7	0.0006369	-12	0	-12	0	-12	0	-12	0	-12	0	-12	0	-12
R8	0.0006369	-14	0	-14	0	-14	0	-14	0	-14	0	-14	0	-14
R9	0.0006369	-16	0	-16	0	-16	0	-16	0	-16	0	-16	0	-16
R10	0.0006369	-18	0	-18	0	-18	0	-18	0	-18	0	-18	0	-18
R11	0.0006369	-20	0	-20	0	-20	0	-20	0	-20	0	-20	0	-20
R12	0.0006369	-22	0	-22	0	-22	0	-22	0	-22	0	-22	0	-22
R13	0.0006369	-24	0	-24	0	-24	0	-24	0	-24	0	-24	0	-24
R14	0.0006369	-26	0	-26	0	-26	0	-26	0	-26	0	-26	0	-26
R15	0.0006369	-28	0	-28	0	-28	0	-28	0	-28	0	-28	0	-28
R16	0.0006369	-30	0	-30	0	-30	0	-30	0	-30	0	-30	0	-30
R17	0.0006369	-32	0	-32	0	-32	0	-32	0	-32	0	-32	0	-32
R18	0.0006369	-34	0	-34	0	-34	0	-34	0	-34	0	-34	0	-34
R19	0.0006369	-36	0	-36	0	-36	0	-36	0	-36	0	-36	0	-36
R20	0.0006369	-38	0	-38	0	-38	0	-38	0	-38	0	-38	0	-38
R21	0.0006369	-40	0	-40	0	-40	0	-40	0	-40	0	-40	0	-40
R22	0.0006369	-42	0	-42	0	-42	0	-42	0	-42	0	-42	0	-42
R23	0.0006369	-44	0	-44	0	-44	0	-44	0	-44	0	-44	0	-44
R24	0.0006369	-46	0	-46	0	-46	0	-46	0	-46	0	-46	0	-46
R25	0.0006369	-48	0	-48	0	-48	0	-48	0	-48	0	-48	0	-48
R26	0.0006369	-50	0	-50	0	-50	0	-50	0	-50	0	-50	0	-50
R27	0.0006369	-52	0	-52	0	-52	0	-52	0	-52	0	-52	0	-52
R28	0.0006369	-54	0	-54	0	-54	0	-54	0	-54	0	-54	0	-54
R29	0.0006369	-56	0	-56	0	-56	0	-56	0	-56	0	-56	0	-56
R30	0.0006369	-58	0	-58	0	-58	0	-58	0	-58	0	-58	0	-58
R31	0.0006369	-60	0	-60	0	-60	0	-60	0	-60	0	-60	0	-60
R32	0.0006369	-62	0	-62	0	-62	0	-62	0	-62	0	-62	0	-62
R33	0.0006369	-64	0	-64	0	-64	0	-64	0	-64	0	-64	0	-64
R34	0.0006369	-66	0	-66	0	-66	0	-66	0	-66	0	-66	0	-66
R35	0.0006369	-68	0	-68	0	-68	0	-68	0	-68	0	-68	0	-68
R36	0.0006369	-70	0	-70	0	-70	0	-70	0	-70	0	-70	0	-70
R37	0.0006369	-72	0	-72	0	-72	0	-72	0	-72	0	-72	0	-72
R38	0.0006369	-74	0	-74	0	-74	0	-74	0	-74	0	-74	0	-74
R39	0.0006369	-76	0	-76	0	-76	0	-76	0	-76	0	-76	0	-76
R40	0.0006369	-78	0	-78	0	-78	0	-78	0	-78	0	-78	0	-78
R41	0.0006369	-80	0	-80	0	-80	0	-80	0	-80	0	-80	0	-80
R42	0.0006369	-82	0	-82	0	-82	0	-82	0	-82	0	-82	0	-82
R43	0.0006369	-84	0	-84	0	-84	0	-84	0	-84	0	-84	0	-84
R44	0.0006369	-86	2.917e-006	-86	0	-86	0	-86	0	-86	0	-86	0	-86
R45	0.0006369	-88	8.601e-006	-88	0	-88	0	-88	0	-88	0	-88	0	-88
R46	0.0006369	-90	1.551e-005	-90	0	-90	0	-90	0	-90	0	-90	0	-90
R47	0.0006369	-92	2.332e-005	-92	0	-92	0	-92	0	-92	0	-92	0	-92
R48	0.0006369	-94	3.203e-005	-94	0	-94	0	-94	0	-94	0	-94	0	-94
R49	0.0006369	-96	4.149e-005	-96	0	-96	0	-96	0	-96	0	-96	0	-96
R50	0.0006369	-98	5.173e-005	-98	0	-98	0	-98	0	-98	0	-98	0	-98
R51	0.0006369	-100	6.279e-005	-100	0	-100	0	-100	0	-100	0	-100	0	-100
R52	0.0006369	-102	7.45e-005	-102	0	-102	0	-102	0	-102	0	-102	0	-102
R53	0.0006369	-104	8.697e-005	-104	0	-104	0	-104	0	-104	0	-104	0	-104
R54	0.0006369	-106	0.0001003	-106	0	-106	0	-106	0	-106	0	-106	0	-106
R55	0.0006369	-108	0.0001143	-108	0	-108	0	-108	0	-108	0	-108	0	-108
R56	0.0006369	-110	0.0001292	-110	0	-110	0	-110	0	-110	0	-110	0	-110
R57	0.0006369	-112	0.000145	-112	0	-112	0	-112	0	-112	0	-112	0	-112
R58	0.0006369	-114	0.0001615	-114	0	-114	0	-114	0	-114	0	-114	0	-114
R59	0.0006369	-116	0.0001793	-116	0	-116	0	-116	0	-116	0	-116	0	-116
R60	0.0006369	-118	0.0001976	-118	0	-118	0	-118	0	-118	0	-118	0	-118
R61	0.0006369	-120	0.0002172	-120	0	-120	0	-120	0	-120	0	-120	0	-120
R62	0.0006369	-122	0.000238	-122	0	-122	0	-122	0	-122	0	-122	0	-122
R63	0.0006369	-124	0.0002595	-124	0	-124	0	-124	0	-124	0	-124	0	-124
R64	0.0006369	-126	0.0002825	-126	0	-126	0	-126	0	-126	0	-126	0	-126
R65	0.0006369	-128	0.0003067	-128	0	-128	0	-128	0	-128	0	-128	0	-128
R66	0.0006369	-130	0.0003321	-130	0	-130	0	-130	0	-130	0	-130	0	-130
R67	0.0006369	-132	0.0003588	-132	0	-132	0	-132	0	-132	0	-132	0	-132
R68	0.0006369	-134	0.0003871	-134	0	-134	0	-134	0	-134	0	-134	0	-134
R69	0.0006369	-136	0.0004168	-136	0	-136	0	-136	0	-136	0	-136	0	-136
R70	0.0006369	-138	0.000448	-138	0	-138	0	-138	0	-138	0	-138	0	-138
R71	0.0006369	-140	0.0004809	-140	0	-140	0	-140	0	-140	0	-140	0	-140
R72	0.0006369	-142	0.0005155	-142	0	-142	0	-142	0	-142	0	-142	0	-142
R73	0.0006369	-144	0.000552	-144	0	-144	0	-144	0	-144	0	-144	0	-144
R74	0.0006369	-146	0.0005901	-146	0	-146	0	-146	0	-146	0	-146	0	-146
R75	0.0006369	-148	0.0006296	-148	0	-148	0	-148	0	-148	0	-148	0	-148
R76	0.0006369	-150	0.0006715	-150	0	-150	0	-150	0	-150	0	-150	0	-150
R77	0.0006369	-152	0.0007162	-152	0	-152	0	-152	0	-152	0	-152	0	-152
R78	0.0006369	-154	0.0007604	-154	0	-154	0	-154	0	-154	0	-154	0	-154
R79	0.0006369	-156	0.0008069	-156	0	-156	0	-156	0	-156	0	-156	0	-156
R80	0.0006369	-158	0.0008568	-158	2.822e-007	-158	0	-158	0	-158	0	-158	0	-158
R81	0.0006369	-160	0.0009075	-160	2.382e-006	-160	0	-160	0	-160	0	-160	0	-160
R82	0.0006369	-162	0.0009553	-162	5.166e-006	-162	0	-162	0	-162	0	-162	0	-162
R83	0.0006369	-164	0.001007	-164	8.4e-006	-164	0	-164	0	-164	0	-164	0	-164
R84	0.0006369	-166	0.001063	-166	1.202e-005	-166	0	-166	0	-166	0	-166	0	-166
R85	0.0006369	-168	0.001106	-168	1.596e-005	-168	0	-168	0	-168	0	-168	0	-168
R86	0.0006369	-170	0.001152	-170	2.022e-005	-170	0	-170	0	-170	0	-170	0	-170
R87	0.0006369	-172	0.001203	-172	2.475e-005	-172	0	-172	0	-172	0	-172	0	-172
R88	0.0006369	-174	0.001228	-174	2.958e-005	-174	0	-174	0	-174	0	-174	0	-174
R89	0.0006369	-176	0.001256	-176	3.473e-005	-176	0	-176	0	-176	0	-176	0	-176
R90	0.0006369	-178	0.00127	-178	4.006e-005	-178	0	-178	0	-178	0	-178	0	-178
R91	0.0006369	-180	0.001259	-180	4.582e-005	-180	0	-180	0	-180	0	-180	0	-180
R92	0.0006369	-182	0.001243	-182	5.174e-005	-182	0	-182	0	-182	0	-182	0	-182
R93	0.0006369	-184	0.001183	-184	5.807e-005	-184	0	-184	0	-184	0	-184	0	-184
R94	0.0006369	-186	0.001113	-186	6.463e-005	-186	0	-186	0	-186	0	-186	0	-186
R95	0.0006369	-188	0.001012	-188	7.145e-005	-188	0	-188	0	-188	0	-188	0	-188
R96	0.0006369	-190	0.0009072	-190	7.875e-005	-190	0	-190	0	-190	0	-190	0	-190
R97	0.0006369	-192	0.0008117	-192	8.623e-005	-192	0	-192	0	-192	0	-192	0	-192
R98	0.0006369	-194	0.0007347	-194	9.404e-005	-194	0	-194	0	-194	0	-194	0	-194
R99	0.0006369	-196	0.0006859	-196	0.0001024	-196	0	-196	0	-196	0	-196	0	-196
R100	0.0006369	-198	0.0006621	-198	0.0001109	-198	0	-198	0	-198	0	-198	0	-198
R101	0.0006369	-200	0.0006494	-200	0.0001197	-200	0	-200	0	-200	0	-200	0	-200
R102	0.0006369	-202	0.000643	-202	0.0001293	-202	0	-202	0	-202	0	-202	0	-202
R103	0.0006369	-204	0.0006398	-204	0.0001391	-204	0	-204	0	-204	0	-204	0	-204
R104	0.0006369	-206	0.0006383	-206	0.0001492	-206	0	-206	0	-206	0	-206	0	-206
R105	0.0006369	-208	0.0006376	-208	0.0001597	-208	0	-208	0	-208	0	-208	0	-208
R106	0.0006369	-210	0.0006372	-210	0.000171	-210	0	-210	0	-210	0	-210	0	-210
R107	0.0006369	-212	0.000637	-212	0.0001827	-212	0	-212	0	-212	0	-212	0	-212
R108	0.0006369	-214	0.0006369	-214	0.0001947	-214	0	-214	0	-214	0	-214	0	-214
R109	0.0006369	-216	0.0006369	-216	0.0002071	-216	0	-216	0	-216	0	-216	0	-216
R110	0.0006369	-218	0.0006369	-218	0.0002206	-218	0	-218	0	-218	0	-218	0	-218
R111	0.0006369	-220	0.0006369	-220	0.0002344	-220	0	-220	0	-220	0	-220	0	-220
R112	0.0006369	-222	0.0006369	-222	0.0002488	-222	0	-222	0	-222	0	-222	0	-222
R113	0.0006369	-224	0.0006369	-224	0.0002636	-224	0	-224	0	-224	0	-224	0	-224
R114	0.0006369	-226	0.0006369	-226	0.0002794	-226	0	-226	0	-226	0	-226	0	-226
R115	0.0006369	-228	0.0006369	-228	0.000296	-228	0	-228	0	-228	0	-228	0	-228
R116	0.0006369	-230	0.0006369	-230	0.0003132	-230	0	-230	0	-230	0	-230	0	-230
R117	0.0006369	-232	0.0006369	-232	0.0003311	-232	0	-232	0	-232	0	-232	0	-232
R118	0.0006369	-234	0.0006369	-234	0.0003497	-234	3.832e-007	-234	0	-234	0	-234	0	-234
R119	0.0006369	-236	0.0006369	-236	0.0003695	-236	1.755e-006	-236	0	-236	0	-236	0	-236
