R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	25	0	25	0	25	0	25	0	25	0	25	0	25	0
R2	-800	-2	24.154	-2	24.529	-2	24.675	-2	24.754	-2	24.802	-2	24.835	-2
R3	-800	-4	23.307	-4	24.059	-4	24.351	-4	24.507	-4	24.604	-4	24.671	-4
R4	-800	-6	22.461	-6	23.588	-6	24.026	-6	24.261	-6	24.407	-6	24.506	-6
R5	-800	-8	21.615	-8	23.117	-8	23.702	-8	24.014	-8	24.209	-8	24.341	-8
R6	-800	-10	20.769	-10	22.646	-10	23.377	-10	23.768	-10	24.011	-10	24.176	-10
R7	-800	-12	19.922	-12	22.176	-12	23.052	-12	23.522	-12	23.813	-12	24.012	-12
R8	-800	-14	19.076	-14	21.705	-14	22.728	-14	23.275	-14	23.615	-14	23.847	-14
R9	-800	-16	18.23	-16	21.234	-16	22.403	-16	23.029	-16	23.418	-16	23.682	-16
R10	-800	-18	17.383	-18	20.764	-18	22.079	-18	22.782	-18	23.22	-18	23.517	-18
R11	-800	-20	16.537	-20	20.293	-20	21.754	-20	22.536	-20	23.022	-20	23.353	-20
R12	-800	-22	15.691	-22	19.822	-22	21.43	-22	22.29	-22	22.824	-22	23.188	-22
R13	-800	-24	14.845	-24	19.351	-24	21.105	-24	22.043	-24	22.626	-24	23.023	-24
R14	-800	-26	13.998	-26	18.881	-26	20.78	-26	21.797	-26	22.429	-26	22.858	-26
R15	-800	-28	13.152	-28	18.41	-28	20.456	-28	21.55	-28	22.231	-28	22.694	-28
R16	-800	-30	12.306	-30	17.939	-30	20.131	-30	21.304	-30	22.033	-30	22.529	-30
R17	-800	-32	11.46	-32	17.469	-32	19.807	-32	21.057	-32	21.835	-32	22.364	-32
R18	-800	-34	10.613	-34	16.998	-34	19.482	-34	20.811	-34	21.637	-34	22.199	-34
R19	-800	-36	9.767	-36	16.527	-36	19.157	-36	20.565	-36	21.44	-36	22.035	-36
R20	-800	-38	8.921	-38	16.056	-38	18.833	-38	20.318	-38	21.242	-38	21.87	-38
R21	-800	-40	8.074	-40	15.586	-40	18.508	-40	20.072	-40	21.044	-40	21.705	-40
R22	-800	-42	7.228	-42	15.115	-42	18.184	-42	19.825	-42	20.846	-42	21.541	-42
R23	-800	-44	6.382	-44	14.644	-44	17.859	-44	19.579	-44	20.648	-44	21.376	-44
R24	-800	-46	5.536	-46	14.174	-46	17.534	-46	19.333	-46	20.451	-46	21.211	-46
R25	-800	-48	4.689	-48	13.703	-48	17.21	-48	19.086	-48	20.253	-48	21.046	-48
R26	-800	-50	3.843	-50	13.232	-50	16.885	-50	18.84	-50	20.055	-50	20.882	-50
R27	-800	-52	2.997	-52	12.761	-52	16.561	-52	18.593	-52	19.857	-52	20.717	-52
R28	-800	-54	2.15	-54	12.291	-54	16.236	-54	18.347	-54	19.66	-54	20.552	-54
R29	-800	-56	1.304	-56	11.82	-56	15.912	-56	18.101	-56	19.462	-56	20.387	-56
R30	-800	-58	0.458	-58	11.349	-58	15.587	-58	17.854	-58	19.264	-58	20.223	-58
R31	-800	-60	-0.39	-60	10.879	-60	15.262	-60	17.608	-60	19.066	-60	20.058	-60
R32	-800	-62	-1.247	-62	10.408	-62	14.938	-62	17.361	-62	18.868	-62	19.893	-62
R33	-800	-64	-2.119	-64	9.937	-64	14.613	-64	17.115	-64	18.671	-64	19.728	-64
R34	-800	-66	-3.009	-66	9.466	-66	14.289	-66	16.869	-66	18.473	-66	19.564	-66
R35	-800	-68	-3.92	-68	8.996	-68	13.964	-68	16.622	-68	18.275	-68	19.399	-68
R36	-800	-70	-4.855	-70	8.525	-70	13.639	-70	16.376	-70	18.077	-70	19.234	-70
R37	-800	-72	-5.817	-72	8.054	-72	13.315	-72	16.129	-72	17.879	-72	19.069	-72
R38	-800	-74	-6.807	-74	7.584	-74	12.99	-74	15.883	-74	17.682	-74	18.905	-74
R39	-800	-76	-7.83	-76	7.113	-76	12.666	-76	15.637	-76	17.484	-76	18.74	-76
R40	-800	-78	-8.887	-78	6.642	-78	12.341	-78	15.39	-78	17.286	-78	18.575	-78
R41	-800	-80	-9.981	-80	6.171	-80	12.016	-80	15.144	-80	17.088	-80	18.411	-80
R42	-800	-82	-11.117	-82	5.701	-82	11.692	-82	14.897	-82	16.89	-82	18.246	-82
R43	-800	-84	-12.298	-84	5.23	-84	11.367	-84	14.651	-84	16.693	-84	18.081	-84
R44	-800	-86	-13.527	-86	4.759	-86	11.043	-86	14.405	-86	16.495	-86	17.916	-86
R45	-800	-88	-14.81	-88	4.289	-88	10.718	-88	14.158	-88	16.297	-88	17.752	-88
R46	-800	-90	-16.153	-90	3.818	-90	10.394	-90	13.912	-90	16.099	-90	17.587	-90
R47	-800	-92	-17.559	-92	3.347	-92	10.069	-92	13.665	-92	15.901	-92	17.422	-92
R48	-800	-94	-19.037	-94	2.876	-94	9.744	-94	13.419	-94	15.704	-94	17.257	-94
R49	-800	-96	-20.593	-96	2.406	-96	9.42	-96	13.173	-96	15.506	-96	17.093	-96
R50	-800	-98	-22.235	-98	1.935	-98	9.095	-98	12.926	-98	15.308	-98	16.928	-98
