R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	0.17	0	0.17	0	0.17	0	0.17	0	0.17	0	0.17	0	0.17	0
R2	1.668e-006	-2	0.17	-2	0.17	-2	0.17	-2	0.17	-2	0.17	-2	0.17	-2
R3	1.668e-006	-4	0.17	-4	0.17	-4	0.17	-4	0.17	-4	0.17	-4	0.17	-4
R4	1.668e-006	-6	0.17	-6	0.17	-6	0.17	-6	0.17	-6	0.17	-6	0.17	-6
R5	1.668e-006	-8	0.17	-8	0.17	-8	0.17	-8	0.17	-8	0.17	-8	0.17	-8
R6	1.668e-006	-10	0.17	-10	0.17	-10	0.17	-10	0.17	-10	0.17	-10	0.17	-10
R7	1.668e-006	-12	0.17	-12	0.17	-12	0.17	-12	0.17	-12	0.17	-12	0.17	-12
R8	1.668e-006	-14	0.17	-14	0.17	-14	0.17	-14	0.17	-14	0.17	-14	0.17	-14
R9	1.668e-006	-16	0.17	-16	0.17	-16	0.17	-16	0.17	-16	0.17	-16	0.17	-16
R10	1.668e-006	-18	0.17	-18	0.17	-18	0.17	-18	0.17	-18	0.17	-18	0.17	-18
R11	1.668e-006	-20	0.17	-20	0.17	-20	0.17	-20	0.17	-20	0.17	-20	0.17	-20
R12	1.668e-006	-22	0.17	-22	0.17	-22	0.17	-22	0.17	-22	0.17	-22	0.17	-22
R13	1.668e-006	-24	0.17	-24	0.17	-24	0.17	-24	0.17	-24	0.17	-24	0.17	-24
R14	1.668e-006	-26	0.17	-26	0.17	-26	0.17	-26	0.17	-26	0.17	-26	0.17	-26
R15	1.668e-006	-28	0.17	-28	0.17	-28	0.17	-28	0.17	-28	0.17	-28	0.17	-28
R16	1.668e-006	-30	0.17	-30	0.17	-30	0.17	-30	0.17	-30	0.17	-30	0.17	-30
R17	1.668e-006	-32	0.17	-32	0.17	-32	0.17	-32	0.17	-32	0.17	-32	0.17	-32
R18	1.668e-006	-34	0.17	-34	0.17	-34	0.17	-34	0.17	-34	0.17	-34	0.17	-34
R19	1.668e-006	-36	0.17	-36	0.17	-36	0.17	-36	0.17	-36	0.17	-36	0.17	-36
R20	1.668e-006	-38	0.17	-38	0.17	-38	0.17	-38	0.17	-38	0.17	-38	0.17	-38
R21	1.668e-006	-40	0.17	-40	0.17	-40	0.17	-40	0.17	-40	0.17	-40	0.17	-40
R22	1.668e-006	-42	0.17	-42	0.17	-42	0.17	-42	0.17	-42	0.17	-42	0.17	-42
R23	1.668e-006	-44	0.17	-44	0.17	-44	0.17	-44	0.17	-44	0.17	-44	0.17	-44
R24	1.668e-006	-46	0.17	-46	0.17	-46	0.17	-46	0.17	-46	0.17	-46	0.17	-46
R25	1.668e-006	-48	0.17	-48	0.17	-48	0.17	-48	0.17	-48	0.17	-48	0.17	-48
R26	1.668e-006	-50	0.17	-50	0.17	-50	0.17	-50	0.17	-50	0.17	-50	0.17	-50
R27	1.668e-006	-52	0.17	-52	0.17	-52	0.17	-52	0.17	-52	0.17	-52	0.17	-52
R28	1.668e-006	-54	0.17	-54	0.17	-54	0.17	-54	0.17	-54	0.17	-54	0.17	-54
R29	1.668e-006	-56	0.17	-56	0.17	-56	0.17	-56	0.17	-56	0.17	-56	0.17	-56
R30	1.668e-006	-58	0.17	-58	0.17	-58	0.17	-58	0.17	-58	0.17	-58	0.17	-58
R31	1.668e-006	-60	0.1698	-60	0.17	-60	0.17	-60	0.17	-60	0.17	-60	0.17	-60
R32	1.668e-006	-62	0.169	-62	0.17	-62	0.17	-62	0.17	-62	0.17	-62	0.17	-62
R33	1.668e-006	-64	0.168	-64	0.17	-64	0.17	-64	0.17	-64	0.17	-64	0.17	-64
R34	1.668e-006	-66	0.1668	-66	0.17	-66	0.17	-66	0.17	-66	0.17	-66	0.17	-66
R35	1.668e-006	-68	0.1655	-68	0.17	-68	0.17	-68	0.17	-68	0.17	-68	0.17	-68
R36	1.668e-006	-70	0.1641	-70	0.17	-70	0.17	-70	0.17	-70	0.17	-70	0.17	-70
R37	1.668e-006	-72	0.1625	-72	0.17	-72	0.17	-72	0.17	-72	0.17	-72	0.17	-72
R38	1.668e-006	-74	0.1609	-74	0.17	-74	0.17	-74	0.17	-74	0.17	-74	0.17	-74
R39	1.668e-006	-76	0.1591	-76	0.17	-76	0.17	-76	0.17	-76	0.17	-76	0.17	-76
R40	1.668e-006	-78	0.1571	-78	0.17	-78	0.17	-78	0.17	-78	0.17	-78	0.17	-78
R41	1.668e-006	-80	0.1551	-80	0.17	-80	0.17	-80	0.17	-80	0.17	-80	0.17	-80
R42	1.668e-006	-82	0.1529	-82	0.17	-82	0.17	-82	0.17	-82	0.17	-82	0.17	-82
R43	1.668e-006	-84	0.1506	-84	0.17	-84	0.17	-84	0.17	-84	0.17	-84	0.17	-84
R44	1.668e-006	-86	0.1481	-86	0.17	-86	0.17	-86	0.17	-86	0.17	-86	0.17	-86
R45	1.668e-006	-88	0.1455	-88	0.17	-88	0.17	-88	0.17	-88	0.17	-88	0.17	-88
R46	1.668e-006	-90	0.1426	-90	0.17	-90	0.17	-90	0.17	-90	0.17	-90	0.17	-90
R47	1.668e-006	-92	0.1397	-92	0.17	-92	0.17	-92	0.17	-92	0.17	-92	0.17	-92
R48	1.668e-006	-94	0.1365	-94	0.17	-94	0.17	-94	0.17	-94	0.17	-94	0.17	-94
R49	1.668e-006	-96	0.1331	-96	0.17	-96	0.17	-96	0.17	-96	0.17	-96	0.17	-96
R50	1.668e-006	-98	0.1296	-98	0.17	-98	0.17	-98	0.17	-98	0.17	-98	0.17	-98
R51	1.668e-006	-100	0.1258	-100	0.17	-100	0.17	-100	0.17	-100	0.17	-100	0.17	-100
R52	1.668e-006	-102	0.1217	-102	0.17	-102	0.17	-102	0.17	-102	0.17	-102	0.17	-102
R53	1.668e-006	-104	0.1174	-104	0.17	-104	0.17	-104	0.17	-104	0.17	-104	0.17	-104
R54	1.668e-006	-106	0.1129	-106	0.17	-106	0.17	-106	0.17	-106	0.17	-106	0.17	-106
R55	1.668e-006	-108	0.1081	-108	0.1698	-108	0.17	-108	0.17	-108	0.17	-108	0.17	-108
R56	1.668e-006	-110	0.1028	-110	0.1693	-110	0.17	-110	0.17	-110	0.17	-110	0.17	-110
R57	1.668e-006	-112	0.09745	-112	0.1688	-112	0.17	-112	0.17	-112	0.17	-112	0.17	-112
R58	1.668e-006	-114	0.09164	-114	0.1683	-114	0.17	-114	0.17	-114	0.17	-114	0.17	-114
R59	1.668e-006	-116	0.08526	-116	0.1677	-116	0.17	-116	0.17	-116	0.17	-116	0.17	-116
R60	1.668e-006	-118	0.07898	-118	0.167	-118	0.17	-118	0.17	-118	0.17	-118	0.17	-118
R61	1.668e-006	-120	0.07198	-120	0.1663	-120	0.17	-120	0.17	-120	0.17	-120	0.17	-120
R62	1.668e-006	-122	0.06463	-122	0.1655	-122	0.17	-122	0.17	-122	0.17	-122	0.17	-122
R63	1.668e-006	-124	0.0572	-124	0.1647	-124	0.17	-124	0.17	-124	0.17	-124	0.17	-124
R64	1.668e-006	-126	0.04864	-126	0.1638	-126	0.17	-126	0.17	-126	0.17	-126	0.17	-126
R65	1.668e-006	-128	0.041	-128	0.1629	-128	0.17	-128	0.17	-128	0.17	-128	0.17	-128
R66	1.668e-006	-130	0.0319	-130	0.1619	-130	0.17	-130	0.17	-130	0.17	-130	0.17	-130
R67	1.668e-006	-132	0.02409	-132	0.1609	-132	0.17	-132	0.17	-132	0.17	-132	0.17	-132
R68	1.668e-006	-134	0.01609	-134	0.1598	-134	0.17	-134	0.17	-134	0.17	-134	0.17	-134
R69	1.668e-006	-136	0.008819	-136	0.1587	-136	0.17	-136	0.17	-136	0.17	-136	0.17	-136
R70	1.668e-006	-138	0.003467	-138	0.1575	-138	0.17	-138	0.17	-138	0.17	-138	0.17	-138
R71	1.668e-006	-140	0.0006153	-140	0.1562	-140	0.17	-140	0.17	-140	0.17	-140	0.17	-140
R72	1.668e-006	-142	2.693e-005	-142	0.155	-142	0.17	-142	0.17	-142	0.17	-142	0.17	-142
R73	1.668e-006	-144	2.028e-006	-144	0.1535	-144	0.17	-144	0.17	-144	0.17	-144	0.17	-144
R74	1.668e-006	-146	1.671e-006	-146	0.1521	-146	0.17	-146	0.17	-146	0.17	-146	0.17	-146
R75	1.668e-006	-148	1.668e-006	-148	0.1506	-148	0.17	-148	0.17	-148	0.17	-148	0.17	-148
R76	1.668e-006	-150	1.668e-006	-150	0.149	-150	0.17	-150	0.17	-150	0.17	-150	0.17	-150
R77	1.668e-006	-152	1.668e-006	-152	0.1473	-152	0.17	-152	0.17	-152	0.17	-152	0.17	-152
R78	1.668e-006	-154	1.668e-006	-154	0.1456	-154	0.17	-154	0.17	-154	0.17	-154	0.17	-154
R79	1.668e-006	-156	1.668e-006	-156	0.1437	-156	0.1698	-156	0.17	-156	0.17	-156	0.17	-156
R80	1.668e-006	-158	1.668e-006	-158	0.1417	-158	0.1696	-158	0.17	-158	0.17	-158	0.17	-158
R81	1.668e-006	-160	1.668e-006	-160	0.1397	-160	0.1693	-160	0.17	-160	0.17	-160	0.17	-160
R82	1.668e-006	-162	1.668e-006	-162	0.1376	-162	0.1689	-162	0.17	-162	0.17	-162	0.17	-162
R83	1.668e-006	-164	1.668e-006	-164	0.1353	-164	0.1685	-164	0.17	-164	0.17	-164	0.17	-164
R84	1.668e-006	-166	1.668e-006	-166	0.1329	-166	0.1681	-166	0.17	-166	0.17	-166	0.17	-166
R85	1.668e-006	-168	1.668e-006	-168	0.1304	-168	0.1677	-168	0.17	-168	0.17	-168	0.17	-168
R86	1.668e-006	-170	1.668e-006	-170	0.1278	-170	0.1672	-170	0.17	-170	0.17	-170	0.17	-170
R87	1.668e-006	-172	1.668e-006	-172	0.125	-172	0.1667	-172	0.17	-172	0.17	-172	0.17	-172
R88	1.668e-006	-174	1.668e-006	-174	0.1221	-174	0.1662	-174	0.17	-174	0.17	-174	0.17	-174
R89	1.668e-006	-176	1.668e-006	-176	0.119	-176	0.1656	-176	0.17	-176	0.17	-176	0.17	-176
R90	1.668e-006	-178	1.668e-006	-178	0.1157	-178	0.1651	-178	0.17	-178	0.17	-178	0.17	-178
R91	1.668e-006	-180	1.668e-006	-180	0.1123	-180	0.1645	-180	0.17	-180	0.17	-180	0.17	-180
R92	1.668e-006	-182	1.668e-006	-182	0.1087	-182	0.1638	-182	0.17	-182	0.17	-182	0.17	-182
R93	1.668e-006	-184	1.668e-006	-184	0.1048	-184	0.1631	-184	0.17	-184	0.17	-184	0.17	-184
R94	1.668e-006	-186	1.668e-006	-186	0.1008	-186	0.1624	-186	0.17	-186	0.17	-186	0.17	-186
R95	1.668e-006	-188	1.668e-006	-188	0.09658	-188	0.1617	-188	0.17	-188	0.17	-188	0.17	-188
R96	1.668e-006	-190	1.668e-006	-190	0.09209	-190	0.161	-190	0.17	-190	0.17	-190	0.17	-190
R97	1.668e-006	-192	1.668e-006	-192	0.08721	-192	0.1601	-192	0.17	-192	0.17	-192	0.17	-192
R98	1.668e-006	-194	1.668e-006	-194	0.08226	-194	0.1593	-194	0.17	-194	0.17	-194	0.17	-194
R99	1.668e-006	-196	1.668e-006	-196	0.0771	-196	0.1585	-196	0.17	-196	0.17	-196	0.17	-196
R100	1.668e-006	-198	1.668e-006	-198	0.0714	-198	0.1575	-198	0.17	-198	0.17	-198	0.17	-198
R101	1.668e-006	-200	1.668e-006	-200	0.06543	-200	0.1566	-200	0.17	-200	0.17	-200	0.17	-200
R102	1.668e-006	-202	1.668e-006	-202	0.05959	-202	0.1556	-202	0.17	-202	0.17	-202	0.17	-202
R103	1.668e-006	-204	1.668e-006	-204	0.05297	-204	0.1546	-204	0.1699	-204	0.17	-204	0.17	-204
R104	1.668e-006	-206	1.668e-006	-206	0.04629	-206	0.1535	-206	0.1698	-206	0.17	-206	0.17	-206
R105	1.668e-006	-208	1.668e-006	-208	0.03971	-208	0.1523	-208	0.1696	-208	0.17	-208	0.17	-208
R106	1.668e-006	-210	1.668e-006	-210	0.03201	-210	0.1512	-210	0.1694	-210	0.17	-210	0.17	-210
R107	1.668e-006	-212	1.668e-006	-212	0.02567	-212	0.15	-212	0.1691	-212	0.17	-212	0.17	-212
R108	1.668e-006	-214	1.668e-006	-214	0.01828	-214	0.1487	-214	0.1688	-214	0.17	-214	0.17	-214
R109	1.668e-006	-216	1.668e-006	-216	0.01199	-216	0.1473	-216	0.1685	-216	0.17	-216	0.17	-216
R110	1.668e-006	-218	1.668e-006	-218	0.006519	-218	0.1459	-218	0.1682	-218	0.17	-218	0.17	-218
R111	1.668e-006	-220	1.668e-006	-220	0.002274	-220	0.1445	-220	0.1679	-220	0.17	-220	0.17	-220
R112	1.668e-006	-222	1.668e-006	-222	0.0003736	-222	0.1429	-222	0.1675	-222	0.17	-222	0.17	-222
R113	1.668e-006	-224	1.668e-006	-224	1.503e-005	-224	0.1413	-224	0.1672	-224	0.17	-224	0.17	-224
R114	1.668e-006	-226	1.668e-006	-226	1.876e-006	-226	0.1396	-226	0.1668	-226	0.17	-226	0.17	-226
