R	C1	C2	C3	C4	C5	C6	C7	C8	C9	C10	C11	C12	C13	C14
R1	0.31	0	0.31	0	0.31	0	0.31	0	0.31	0	0.31	0	0.31	0
R2	0.0326	-2	0.31	-2	0.31	-2	0.31	-2	0.31	-2	0.31	-2	0.31	-2
R3	0.0326	-4	0.31	-4	0.31	-4	0.31	-4	0.31	-4	0.31	-4	0.31	-4
R4	0.0326	-6	0.31	-6	0.31	-6	0.31	-6	0.31	-6	0.31	-6	0.31	-6
R5	0.0326	-8	0.31	-8	0.31	-8	0.31	-8	0.31	-8	0.31	-8	0.31	-8
R6	0.0326	-10	0.31	-10	0.31	-10	0.31	-10	0.31	-10	0.31	-10	0.31	-10
R7	0.0326	-12	0.31	-12	0.31	-12	0.31	-12	0.31	-12	0.31	-12	0.31	-12
R8	0.0326	-14	0.31	-14	0.31	-14	0.31	-14	0.31	-14	0.31	-14	0.31	-14
R9	0.0326	-16	0.31	-16	0.31	-16	0.31	-16	0.31	-16	0.31	-16	0.31	-16
R10	0.0326	-18	0.31	-18	0.31	-18	0.31	-18	0.31	-18	0.31	-18	0.31	-18
R11	0.0326	-20	0.31	-20	0.31	-20	0.31	-20	0.31	-20	0.31	-20	0.31	-20
R12	0.0326	-22	0.31	-22	0.31	-22	0.31	-22	0.31	-22	0.31	-22	0.31	-22
R13	0.0326	-24	0.31	-24	0.31	-24	0.31	-24	0.31	-24	0.31	-24	0.31	-24
R14	0.0326	-26	0.31	-26	0.31	-26	0.31	-26	0.31	-26	0.31	-26	0.31	-26
R15	0.0326	-28	0.31	-28	0.31	-28	0.31	-28	0.31	-28	0.31	-28	0.31	-28
R16	0.0326	-30	0.31	-30	0.31	-30	0.31	-30	0.31	-30	0.31	-30	0.31	-30
R17	0.0326	-32	0.31	-32	0.31	-32	0.31	-32	0.31	-32	0.31	-32	0.31	-32
R18	0.0326	-34	0.31	-34	0.31	-34	0.31	-34	0.31	-34	0.31	-34	0.31	-34
R19	0.0326	-36	0.31	-36	0.31	-36	0.31	-36	0.31	-36	0.31	-36	0.31	-36
R20	0.0326	-38	0.31	-38	0.31	-38	0.31	-38	0.31	-38	0.31	-38	0.31	-38
R21	0.0326	-40	0.31	-40	0.31	-40	0.31	-40	0.31	-40	0.31	-40	0.31	-40
