Time (s),SH (m)
52860,0.0422
52920,0.068
52980,0.0752
53040,0.0784
53100,0.0808
53160,0.0844
53220,0.0876
53280,0.0916
53340,0.0953
53400,0.0999
53460,0.1051
53520,0.1113
53580,0.1215
53640,0.1283
53700,0.136
53760,0.1427
53820,0.1494
53880,0.155
53940,0.1607
54000,0.1663
54060,0.1718
54120,0.1774
54180,0.1834
54240,0.1886
54300,0.194
54360,0.2
54420,0.2052
54480,0.2108
54540,0.2165
54600,0.2217
54660,0.2278
54720,0.2335
54780,0.2396
54840,0.2452
54900,0.251
54960,0.2565
55020,0.2611
55080,0.2627
55140,0.2637
55200,0.2646
55260,0.2645
55320,0.2646
55380,0.265
55440,0.2649
55500,0.2651
55560,0.2655
55620,0.2655
55680,0.2654
55740,0.2655
55800,0.2651
55860,0.2655
55920,0.2655
55980,0.2655
56040,0.2658
56100,0.2654
56160,0.2655
56220,0.2653
56280,0.2651
56340,0.2651
56400,0.2622
56460,0.2578
56520,0.2555
56580,0.2535
56640,0.2515
56700,0.2495
56760,0.2475
56820,0.2456
56880,0.2434
56940,0.2416
57000,0.2394
57060,0.2376
57120,0.2352
57180,0.2332
57240,0.2311
57300,0.2292
57360,0.2274
57420,0.2253
57480,0.2235
57540,0.2213
57600,0.2196
57660,0.2175
57720,0.2157
57780,0.2139
57840,0.212
57900,0.2097
57960,0.2079
58020,0.206
58080,0.204
58140,0.2021
58200,0.2004
58260,0.1984
58320,0.1966
58380,0.1948
58440,0.1929
58500,0.1913
58560,0.1893
58620,0.1878
58680,0.1857
58740,0.1838
58800,0.1821
58860,0.1805
58920,0.1784
58980,0.1769
59040,0.175
59100,0.1722
59160,0.1703
59220,0.1686
59280,0.1669
59340,0.1649
59400,0.1633
59460,0.1615
59520,0.1595
59580,0.1578
59640,0.1557
59700,0.1533
59760,0.1517
59820,0.1499
59880,0.1481
59940,0.1464
60000,0.1446
60060,0.1427
60120,0.1408
60180,0.1396
60240,0.1378
60300,0.136
60360,0.134
60420,0.1323
60480,0.1307
60540,0.129
60600,0.1267
60660,0.1246
60720,0.1227
60780,0.1207
60840,0.1188
60900,0.1168
60960,0.1145
61020,0.1127
61080,0.1105
61140,0.1085
61200,0.1064
61260,0.1043
61320,0.1016
61380,0.0992
61440,0.0971
61500,0.0949
61560,0.0922
61620,0.0901
61680,0.088
61740,0.0854
61800,0.0653
61860,0.0323
61920,0.0172
61980,0.0056
