# Time[s], Head[m]
0,6.10E-03
60,6.10E-03
120,6.30E-03
180,6.30E-03
240,6.30E-03
300,6.10E-03
360,6.30E-03
420,6.10E-03
480,8.30E-03
540,8.40E-03
600,8.40E-03
660,8.50E-03
720,8.50E-03
780,8.50E-03
840,8.40E-03
900,8.50E-03
960,8.50E-03
1020,8.70E-03
1080,8.80E-03
1140,8.70E-03
1200,8.50E-03
1260,8.50E-03
1320,8.50E-03
1380,8.50E-03
1440,8.40E-03
1500,8.50E-03
1560,8.80E-03
1620,8.50E-03
1680,8.80E-03
1740,8.50E-03
1800,8.70E-03
1860,8.80E-03
1920,8.50E-03
1980,8.90E-03
2040,8.70E-03
2100,8.80E-03
2160,9.10E-03
2220,9.10E-03
2280,8.80E-03
2340,8.90E-03
2400,8.70E-03
2460,9.10E-03
2520,8.80E-03
2580,8.80E-03
2640,8.70E-03
2700,8.50E-03
2760,6.50E-03
2820,2.39E-02
2880,4.59E-02
2940,4.93E-02
3000,4.62E-02
3060,4.61E-02
3120,4.83E-02
3180,5.43E-02
3240,5.93E-02
3300,6.50E-02
3360,7.17E-02
3420,7.72E-02
3480,8.28E-02
3540,8.82E-02
3600,9.30E-02
3660,9.73E-02
3720,1.02E-01
3780,1.07E-01
3840,1.12E-01
3900,1.16E-01
3960,1.21E-01
4020,1.26E-01
4080,1.31E-01
4140,1.35E-01
4200,1.39E-01
4260,1.44E-01
4320,1.48E-01
4380,1.53E-01
4440,1.57E-01
4500,1.61E-01
4560,1.66E-01
4620,1.71E-01
4680,1.75E-01
4740,1.80E-01
4800,1.84E-01
4860,1.89E-01
4920,1.94E-01
4980,1.97E-01
5040,2.02E-01
5100,2.07E-01
5160,2.11E-01
5220,2.18E-01
5280,2.21E-01
5340,2.26E-01
5400,2.31E-01
5460,2.36E-01
5520,2.41E-01
5580,2.46E-01
5640,2.51E-01
5700,2.56E-01
5760,2.55E-01
5820,2.55E-01
5880,2.57E-01
5940,2.59E-01
6000,2.59E-01
6060,2.59E-01
6120,2.60E-01
6180,2.60E-01
6240,2.59E-01
6300,2.60E-01
6360,2.58E-01
6420,2.54E-01
6480,2.51E-01
6540,2.48E-01
6600,2.45E-01
6660,2.43E-01
6720,2.40E-01
6780,2.37E-01
6840,2.35E-01
6900,2.32E-01
6960,2.29E-01
7020,2.26E-01
7080,2.24E-01
7140,2.22E-01
7200,2.19E-01
7260,2.16E-01
7320,2.14E-01
7380,2.11E-01
7440,2.09E-01
7500,2.06E-01
7560,2.04E-01
7620,2.02E-01
7680,2.00E-01
7740,1.98E-01
7800,1.95E-01
7860,1.93E-01
7920,1.90E-01
7980,1.87E-01
8040,1.85E-01
8100,1.83E-01
8160,1.80E-01
8220,1.78E-01
8280,1.76E-01
8340,1.73E-01
8400,1.70E-01
8460,1.68E-01
8520,1.66E-01
8580,1.63E-01
8640,1.61E-01
8700,1.58E-01
8760,1.57E-01
8820,1.54E-01
8880,1.52E-01
8940,1.51E-01
9000,1.48E-01
9060,1.46E-01
9120,1.44E-01
9180,1.43E-01
9240,1.41E-01
9300,1.39E-01
9360,1.37E-01
9420,1.35E-01
9480,1.34E-01
9540,1.32E-01
9600,1.30E-01
9660,1.28E-01
9720,1.26E-01
9780,1.25E-01
9840,1.23E-01
9900,1.21E-01
9960,1.19E-01
10020,1.17E-01
10080,1.15E-01
10140,1.14E-01
10200,1.12E-01
10260,1.10E-01
10320,8.66E-02
10380,5.91E-02
10440,4.46E-02
10500,3.63E-02
10560,3.08E-02
10620,2.70E-02
10680,5.60E-03
10740,5.60E-03
10800,5.60E-03
10860,5.70E-03
10920,5.90E-03
10980,5.70E-03
11040,6.00E-03
11100,6.00E-03
11160,5.90E-03
11220,5.60E-03
11280,5.60E-03
