R,C1,C2,C3,C4,C5,C6,C7,C8
R1, 25, 0, 25, 0, 25, 0, 25, 0
R2,-600,-2, 24.292,-2, 24.686,-2, 24.809,-2
R3,-600,-4,23.584,-4,24.373,-4,24.619,-4
R4,-600,-6,22.876,-6,24.059,-6,24.428,-6
R5,-600,-8,22.169,-8,23.746,-8,24.237,-8
R6,-600,-10,21.461,-10,23.432,-10,24.047,-10
R7,-600,-12,20.753,-12,23.119,-12,23.856,-12
R8,-600,-14,20.045,-14,22.805,-14,23.665,-14
R9,-600,-16,19.337,-16,22.491,-16,23.475,-16
R10,-600,-18,18.629,-18,22.178,-18,23.284,-18
R11,-600,-20,17.922,-20,21.864,-20,23.093,-20
R12,-600,-22,17.214,-22,21.551,-22,22.902,-22
R13,-600,-24,16.506,-24,21.237,-24,22.712,-24
R14,-600,-26,15.798,-26,20.924,-26,22.521,-26
R15,-600,-28,15.09,-28,20.61,-28,22.33,-28
R16,-600,-30,14.382,-30,20.297,-30,22.14,-30
R17,-600,-32,13.674,-32,19.983,-32,21.949,-32
R18,-600,-34,12.967,-34,19.669,-34,21.758,-34
R19,-600,-36,12.259,-36,19.356,-36,21.568,-36
R20,-600,-38,11.551,-38,19.042,-38,21.377,-38
R21,-600,-40,10.843,-40,18.729,-40,21.186,-40
R22,-600,-42,10.135,-42,18.415,-42,20.996,-42
R23,-600,-44,9.427,-44,18.102,-44,20.805,-44
R24,-600,-46,8.719,-46,17.788,-46,20.614,-46
R25,-600,-48,8.012,-48,17.474,-48,20.424,-48
R26,-600,-50,7.304,-50,17.161,-50,20.233,-50
R27,-600,-52,6.596,-52,16.847,-52,20.042,-52
R28,-600,-54,5.888,-54,16.534,-54,19.852,-54
R29,-600,-56,5.18,-56,16.22,-56,19.661,-56
R30,-600,-58,4.472,-58,15.907,-58,19.47,-58
R31,-600,-60,3.765,-60,15.593,-60,19.279,-60
R32,-600,-62,3.057,-62,15.279,-62,19.089,-62
R33,-600,-64,2.349,-64,14.966,-64,18.898,-64
R34,-600,-66,1.641,-66,14.652,-66,18.707,-66
R35,-600,-68,0.933,-68,14.339,-68,18.517,-68
R36,-600,-70,0.225,-70,14.025,-70,18.326,-70
R37,-600,-72,-0.485,-72,13.712,-72,18.135,-72
R38,-600,-74,-1.203,-74,13.398,-74,17.945,-74
R39,-600,-76,-1.933,-76,13.084,-76,17.754,-76
R40,-600,-78,-2.677,-78,12.771,-78,17.563,-78
R41,-600,-80,-3.437,-80,12.457,-80,17.373,-80
R42,-600,-82,-4.216,-82,12.144,-82,17.182,-82
R43,-600,-84,-5.014,-84,11.83,-84,16.991,-84
R44,-600,-86,-5.834,-86,11.517,-86,16.801,-86
R45,-600,-88,-6.677,-88,11.203,-88,16.61,-88
R46,-600,-90,-7.546,-90,10.89,-90,16.419,-90
R47,-600,-92,-8.442,-92,10.576,-92,16.229,-92
R48,-600,-94,-9.368,-94,10.262,-94,16.038,-94
R49,-600,-96,-10.326,-96,9.949,-96,15.847,-96
R50,-600,-98,-11.318,-98,9.635,-98,15.657,-98
R51,-600,-100,-12.349,-100,9.322,-100,15.466,-100
R52,-600,-102,-13.42,-102,9.008,-102,15.275,-102
R53,-600,-104,-14.535,-104,8.695,-104,15.084,-104
R54,-600,-106,-15.698,-106,8.381,-106,14.894,-106
R55,-600,-108,-16.913,-108,8.067,-108,14.703,-108
R56,-600,-110,-18.184,-110,7.754,-110,14.512,-110
R57,-600,-112,-19.518,-112,7.44,-112,14.322,-112
R58,-600,-114,-20.92,-114,7.127,-114,14.131,-114
R59,-600,-116,-22.396,-116,6.813,-116,13.94,-116
R60,-600,-118,-23.955,-118,6.5,-118,13.75,-118
R61,-600,-120,-25.604,-120,6.186,-120,13.559,-120
R62,-600,-122,-27.354,-122,5.872,-122,13.368,-122
R63,-600,-124,-29.217,-124,5.559,-124,13.178,-124
R64,-600,-126,-31.21,-126,5.245,-126,12.987,-126
R65,-600,-128,-33.344,-128,4.932,-128,12.796,-128
R66,-600,-130,-35.641,-130,4.618,-130,12.606,-130
R67,-600,-132,-38.13,-132,4.305,-132,12.415,-132
R68,-600,-134,-40.831,-134,3.991,-134,12.224,-134
R69,-600,-136,-43.78,-136,3.677,-136,12.034,-136
R70,-600,-138,-47.038,-138,3.364,-138,11.843,-138
R71,-600,-140,-50.657,-140,3.05,-140,11.652,-140
R72,-600,-142,-54.692,-142,2.737,-142,11.461,-142
R73,-600,-144,-59.291,-144,2.423,-144,11.271,-144
R74,-600,-146,-64.581,-146,2.11,-146,11.08,-146
R75,-600,-148,-70.725,-148,1.796,-148,10.889,-148
R76,-600,-150,-78.117,-150,1.483,-150,10.699,-150
R77,-600,-152,-87.189,-152,1.169,-152,10.508,-152
R78,-600,-154,-98.813,-154,0.855,-154,10.317,-154
R79,-600,-156,-114.894,-156,0.542,-156,10.127,-156
R80,-600,-158,-138.771,-158,0.228,-158,9.936,-158
R81,-600,-160,-179.145,-160,-0.086,-160,9.745,-160
R82,-600,-162,-260.315,-162,-0.401,-162,9.555,-162
R83,-600,-164,-444.157,-164,-0.719,-164,9.364,-164
R84,-600,-166,-590.452,-166,-1.042,-166,9.173,-166
R85,-600,-168,-599.799,-168,-1.369,-168,8.983,-168
R86,-600,-170,-599.996,-170,-1.7,-170,8.792,-170
R87,-600,-172,-600,-172,-2.037,-172,8.601,-172
R88,-600,-174,-600,-174,-2.38,-174,8.411,-174
R89,-600,-176,-600,-176,-2.729,-176,8.22,-176
R90,-600,-178,-600,-178,-3.084,-178,8.029,-178
R91,-600,-180,-600,-180,-3.447,-180,7.838,-180
R92,-600,-182,-600,-182,-3.816,-182,7.648,-182
R93,-600,-184,-600,-184,-4.194,-184,7.457,-184
R94,-600,-186,-600,-186,-4.579,-186,7.266,-186
R95,-600,-188,-600,-188,-4.973,-188,7.076,-188
R96,-600,-190,-600,-190,-5.377,-190,6.885,-190
R97,-600,-192,-600,-192,-5.789,-192,6.694,-192
R98,-600,-194,-600,-194,-6.212,-194,6.504,-194
R99,-600,-196,-600,-196,-6.645,-196,6.313,-196
R100,-600,-198,-600,-198,-7.09,-198,6.122,-198
