R	C1	C2
R1	1e-006	-0.7696
R2	1.23e-006	-0.7696
R3	1.52e-006	-0.7696
R4	1.87e-006	-0.7696
R5	2.31e-006	-0.7696
R6	2.85e-006	-0.7696
R7	3.51e-006	-0.7696
R8	4.33e-006	-0.7696
R9	5.34e-006	-0.7696
R10	6.58e-006	-0.7696
R11	8.11e-006	-0.7696
R12	1e-005	-0.7696
R13	1.23e-005	-0.7696
R14	1.52e-005	-0.7696
R15	1.87e-005	-0.7696
R16	2.31e-005	-0.7696
R17	2.85e-005	-0.7696
R18	3.51e-005	-0.7696
R19	4.33e-005	-0.7696
R20	5.34e-005	-0.7696
R21	6.58e-005	-0.7696
R22	8.11e-005	-0.7696
R23	0.0001	-0.7696
R24	0.000123	-0.7696
R25	0.000152	-0.7696
R26	0.000187	-0.7696
R27	0.000231	-0.7696
R28	0.000285	-0.7696
R29	0.000351	-0.7696
R30	0.000433	-0.7696
R31	0.000534	-0.7696
R32	0.000658	-0.7696
R33	0.000811	-0.7696
R34	0.001	-0.7696
R35	0.00123	-0.7696
R36	0.00152	-0.7696
R37	0.00187	-0.7696
R38	0.00231	-0.7696
R39	0.00285	-0.7696
R40	0.00351	-0.7696
R41	0.00433	-0.7696
R42	0.00534	-0.7696
R43	0.00658	-0.7696
R44	0.00811	-0.7696
R45	0.01	-0.7696
R46	0.0123	-0.7696
R47	0.0152	-0.7696
R48	0.0187	-0.7696
R49	0.0231	-0.7696
R50	0.0285	-0.7696
R51	0.0351	-0.7696
R52	0.0433	-0.7696
R53	0.0534	-0.7696
R54	0.0658	-0.7696
R55	0.0811	-0.7696
R56	0.1	-0.7696
R57	0.123	-0.7697
R58	0.152	-0.7697
R59	0.187	-0.7698
R60	0.231	-0.7698
R61	0.285	-0.7699
R62	0.351	-0.77
R63	0.433	-0.7702
R64	0.534	-0.7704
R65	0.658	-0.7707
R66	0.811	-0.771
R67	1	-0.7715
R68	1.23	-0.7721
R69	1.52	-0.7729
R70	1.87	-0.774
R71	2.31	-0.7753
R72	2.85	-0.7772
R73	3.51	-0.7796
R74	4.33	-0.7827
R75	5.34	-0.7869
R76	6.58	-0.7924
R77	8.11	-0.7997
R78	10	-0.8095
R79	12.3	-0.8224
R80	15.2	-0.8397
R81	18.7	-0.8628
R82	23.1	-0.8939
R83	28.5	-0.9358
R84	35.1	-0.9925
R85	43.3	-1.069
R86	53.4	-1.172
R87	65.8	-1.31
R88	81.1	-1.489
R89	100	-1.717
R90	123	-1.996
R91	152	-2.324
R92	187	-2.694
R93	231	-3.098
R94	285	-3.526
R95	351	-3.972
R96	433	-4.429
R97	534	-4.894
R98	658	-5.363
R99	811	-5.836
R100	1000	-6.31
