"BAP","DOC","EPS","NH4","NO3","O2","POCr","U:0","U:1","U:2","XAR","XDN","XI","XN","h","n","perm","rDN","rH","rN","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0001334,0.00017609,2.8091e-05,5.108e-06,0.00036767,0.001574,0.00010575,-7.919e-12,-7.3966e-12,-4.4839e-29,1.4791e-08,4.6097e-05,4.3834e-06,5.2491e-06,-1.2983e-05,0.34206,9.7427e-12,2.3978e-06,3.743e-07,5.0247e-07,65,1,0,0.002,-0.2,0.145
0.00013874,0.00018306,2.9205e-05,5.3066e-06,0.00038236,0.0016368,0.00010995,-8.4976e-12,-1.5504e-11,-3.9681e-29,1.5368e-08,4.7925e-05,4.5549e-06,5.4521e-06,-1.348e-05,0.35516,1.0116e-11,2.4916e-06,3.8939e-07,5.222e-07,65,1,0.0025,0.002,-0.1975,0.145
0.00014117,0.00018611,2.9694e-05,5.3877e-06,0.00038904,0.0016654,0.00011164,-8.8747e-12,-2.7433e-11,2.3505e-29,1.5606e-08,4.8731e-05,4.6266e-06,5.533e-06,-1.3669e-05,0.36017,1.0259e-11,2.5307e-06,3.9645e-07,5.3058e-07,64,1,0.005,0.002,-0.195,0.145
0.0001414,0.00018615,2.9706e-05,5.3779e-06,0.00038962,0.0016677,0.00011136,-9.1007e-12,-4.238e-11,1.1449e-28,1.5583e-08,4.8754e-05,4.6213e-06,5.5191e-06,-1.3619e-05,0.35887,1.0222e-11,2.5277e-06,3.9744e-07,5.3021e-07,63,1,0.0075,0.002,-0.1925,0.145
0.00014227,0.0001869,2.9829e-05,5.3823e-06,0.00039192,0.0016773,0.00011119,-9.3861e-12,-5.7286e-11,7.8568e-29,1.5603e-08,4.8964e-05,4.6296e-06,5.5174e-06,-1.3592e-05,0.35817,1.0202e-11,2.5323e-06,4.0043e-07,5.3158e-07,63,1,0.01,0.002,-0.19,0.145
0.00014365,0.00018821,3.004e-05,5.3985e-06,0.00039559,0.0016927,0.00011124,-9.811e-12,-7.2856e-11,-5.7158e-29,1.5657e-08,4.9318e-05,4.6486e-06,5.5253e-06,-1.3582e-05,0.35796,1.0196e-11,2.5428e-06,4.0503e-07,5.3434e-07,62,1,0.0125,0.002,-0.1875,0.145
0.00014539,0.0001899,3.0306e-05,5.4214e-06,0.00040019,0.0017121,0.0001114,-1.034e-11,-8.9078e-11,-1.7742e-28,1.5732e-08,4.9765e-05,4.6738e-06,5.5379e-06,-1.358e-05,0.35796,1.0196e-11,2.5569e-06,4.1079e-07,5.3797e-07,61,1,0.015,0.002,-0.185,0.145
0.00014748,0.00019193,3.0618e-05,5.4491e-06,0.00040566,0.0017351,0.00011158,-1.098e-11,-1.0624e-10,-1.4778e-28,1.5819e-08,5.0289e-05,4.7031e-06,5.5521e-06,-1.3577e-05,0.35796,1.0196e-11,2.5737e-06,4.1771e-07,5.4231e-07,61,1,0.0175,0.002,-0.1825,0.145
0.00015,0.00019437,3.0982e-05,5.4828e-06,0.00041217,0.0017624,0.0001118,-1.1766e-11,-1.2486e-10,-9.1298e-29,1.5921e-08,5.09e-05,4.737e-06,5.5678e-06,-1.3575e-05,0.35796,1.0196e-11,2.5934e-06,4.2609e-07,5.4752e-07,60,1,0.02,0.002,-0.18,0.145
0.00015282,0.0001971,3.138e-05,5.5209e-06,0.0004194,0.0017928,0.00011203,-1.2659e-11,-1.4466e-10,-4.0437e-29,1.6033e-08,5.1569e-05,4.7738e-06,5.584e-06,-1.3571e-05,0.35796,1.0196e-11,2.6152e-06,4.3553e-07,5.5335e-07,59,1,0.0225,0.002,-0.1775,0.145
0.00015596,0.00020013,3.1812e-05,5.5635e-06,0.00042736,0.0018261,0.00011228,-1.3665e-11,-1.6574e-10,-1.4603e-29,1.6155e-08,5.2296e-05,4.8134e-06,5.6008e-06,-1.3567e-05,0.35796,1.0196e-11,2.6391e-06,4.4606e-07,5.598e-07,58,1,0.025,0.002,-0.175,0.145
0.0001596,0.00020363,3.2294e-05,5.6135e-06,0.00043643,0.0018641,0.00011256,-1.4858e-11,-1.8915e-10,-1.696e-28,1.6293e-08,5.3106e-05,4.857e-06,5.6178e-06,-1.3563e-05,0.35796,1.0195e-11,2.6659e-06,4.5835e-07,5.6726e-07,58,1,0.0275,0.002,-0.1725,0.145
0.00016363,0.00020749,3.2811e-05,5.6695e-06,0.00044631,0.0019055,0.00011285,-1.6206e-11,-2.146e-10,-4.8065e-28,1.6441e-08,5.3978e-05,4.9034e-06,5.6346e-06,-1.3558e-05,0.35796,1.0195e-11,2.6949e-06,4.7203e-07,5.7549e-07,57,1,0.03,0.002,-0.17,0.145
0.00016803,0.00021169,3.3361e-05,5.7312e-06,0.00045694,0.0019499,0.00011317,-1.7702e-11,-2.4207e-10,-5.449e-28,1.6601e-08,5.4906e-05,4.9524e-06,5.651e-06,-1.3552e-05,0.35796,1.0195e-11,2.7257e-06,4.8702e-07,5.8445e-07,56,1,0.0325,0.002,-0.1675,0.145
0.00017286,0.00021627,3.3947e-05,5.7995e-06,0.00046839,0.0019977,0.0001135,-1.9373e-11,-2.7198e-10,1.1906e-28,1.6772e-08,5.5897e-05,5.0041e-06,5.6668e-06,-1.3546e-05,0.35796,1.0195e-11,2.7585e-06,5.0353e-07,5.9425e-07,56,1,0.035,0.002,-0.165,0.145
0.00017829,0.00022139,3.4584e-05,5.8777e-06,0.00048096,0.00205,0.00011387,-2.1309e-11,-3.0573e-10,3.9792e-28,1.6961e-08,5.6976e-05,5.0597e-06,5.6816e-06,-1.3539e-05,0.35796,1.0195e-11,2.7937e-06,5.2226e-07,6.0524e-07,55,1,0.0375,0.002,-0.1625,0.145
0.00018417,0.00022687,3.5259e-05,5.9631e-06,0.00049429,0.0021054,0.00011425,-2.3445e-11,-3.4249e-10,7.6469e-29,1.7163e-08,5.8121e-05,5.1182e-06,5.6955e-06,-1.3531e-05,0.35796,1.0195e-11,2.8305e-06,5.426e-07,6.1711e-07,54,1,0.04,0.002,-0.16,0.145
0.00019052,0.00023274,3.5973e-05,6.0561e-06,0.00050838,0.002164,0.00011467,-2.5795e-11,-3.8248e-10,-2.9817e-28,1.738e-08,5.9335e-05,5.1797e-06,5.7086e-06,-1.3522e-05,0.35796,1.0195e-11,2.8688e-06,5.6464e-07,6.299e-07,53,1,0.0425,0.002,-0.1575,0.145
0.00019746,0.00023909,3.6738e-05,6.1592e-06,0.00052341,0.0022263,0.00011512,-2.8432e-11,-4.2688e-10,7.8144e-28,1.7616e-08,6.064e-05,5.2453e-06,5.7206e-06,-1.3512e-05,0.35796,1.0195e-11,2.9088e-06,5.8889e-07,6.4388e-07,53,1,0.045,0.002,-0.155,0.145
0.00020511,0.00024599,3.7568e-05,6.2744e-06,0.00053947,0.0022927,0.00011563,-3.1417e-11,-4.7678e-10,9.7257e-28,1.7877e-08,6.2058e-05,5.316e-06,5.7314e-06,-1.35e-05,0.35796,1.0195e-11,2.9504e-06,6.1574e-07,6.5927e-07,52,1,0.0475,0.002,-0.1525,0.145
0.00021333,0.00025331,3.8451e-05,6.3995e-06,0.00055632,0.0023623,0.00011619,-3.4697e-11,-5.3142e-10,6.3292e-28,1.816e-08,6.3572e-05,5.3912e-06,5.7414e-06,-1.3488e-05,0.35795,1.0195e-11,2.993e-06,6.4474e-07,6.7581e-07,51,1,0.05,0.002,-0.15,0.145
0.00022216,0.00026106,3.9394e-05,6.5351e-06,0.00057397,0.002435,0.00011682,-3.8296e-11,-5.9117e-10,1.8223e-28,1.8468e-08,6.519e-05,5.4713e-06,5.7508e-06,-1.3474e-05,0.35795,1.0195e-11,3.0366e-06,6.7598e-07,6.9357e-07,50,1,0.0525,0.002,-0.1475,0.145
0.00023177,0.00026937,4.0417e-05,6.6847e-06,0.0005926,0.0025115,0.00011754,-4.2324e-11,-6.579e-10,8.6978e-28,1.881e-08,6.6951e-05,5.5583e-06,5.7594e-06,-1.3458e-05,0.35795,1.0194e-11,3.0812e-06,7.1016e-07,7.1293e-07,50,1,0.055,0.002,-0.145,0.145
0.00024229,0.00027827,4.1536e-05,6.8501e-06,0.00061226,0.0025921,0.00011842,-4.6848e-11,-7.3295e-10,1.1649e-28,1.9194e-08,6.8884e-05,5.6537e-06,5.7675e-06,-1.3441e-05,0.35795,1.0194e-11,3.1267e-06,7.4768e-07,7.3412e-07,49,1,0.0575,0.002,-0.1425,0.145
